timestamp,ax,ay,az
1630679501062,0.165066,0.211487,0.411506
1630679501071,0.144875,0.17751,0.327204
1630679501081,0.102236,0.149206,0.247416
1630679501090,0.061061,0.091195,0.150365
1630679501100,0.028364999999999998,0.043188,0.057706
1630679501110,0.0017079999999999999,0.016409,-0.0035989999999999998
1630679501119,-0.002074,-0.007686,-0.009516
1630679501129,-0.00061,0.016287,0.041053
1630679501138,0.015127999999999999,0.052826,0.09516
1630679501148,0.047030999999999996,0.075213,0.114558
1630679501158,0.055327,0.094306,0.115534
1630679501167,0.046055,0.068442,0.08784
1630679501177,0.030134,0.017506999999999998,0.043188
1630679501186,0.00671,-0.031232,0.032757
1630679501196,-0.010309,-0.055876,0.083387
1630679501206,0.009516,-0.025498,0.23216599999999998
1630679501215,0.091622,0.127185,0.52521
1630679501225,0.196481,0.41412899999999997,0.947269
1630679501234,0.254065,0.609634,1.304668
1630679501244,0.2928,0.537532,1.332423
1630679501254,0.191296,0.329278,1.150948
1630679501263,0.085766,0.095465,1.033523
1630679501273,0.084302,0.003355,0.988688
1630679501282,0.048678,0.00732,1.051762
1630679501292,0.04453,0.179401,1.323151
1630679501302,0.126392,0.404979,1.7712569999999999
1630679501311,0.260714,0.5715089999999999,1.998604
1630679501321,0.174094,0.630313,1.998604
1630679501330,0.061549,0.517158,1.998604
1630679501340,0.07448099999999999,0.493307,1.998604
1630679501350,0.124684,0.638365,1.998604
1630679468502,0.171532,0.7506659999999999,1.998604
1630679468512,0.18178,0.704672,1.998604
1630679468521,0.145241,0.63318,1.873737
1630679468531,0.10498099999999999,0.545157,1.678537
1630679468541,0.077226,0.489464,1.492304
1630679468550,0.072712,0.429074,1.331691
1630679468560,0.089304,0.370514,1.180838
1630679468569,0.117852,0.331413,1.048529
1630679468579,0.1403,0.328729,0.949221
1630679468589,0.105652,0.317505,0.8568669999999999
1630679468598,0.09235399999999999,0.259006,0.736148
1630679468608,0.048129,0.19983599999999999,0.607743
1630679468617,0.034892,0.111447,0.46860199999999996
1630679468627,0.034892,0.059352999999999996,0.366793
1630679468637,0.03538,0.022265,0.28438199999999997
1630679468646,0.043981,0.016836,0.207034
1630679468656,0.051179,0.027694,0.135542
1630679468665,0.058682,0.042456,0.070089
1630679468675,0.045871999999999996,0.066978,0.035441
1630679468685,0.043066,0.078568,0.011956
1630679468694,0.037271,0.083448,-0.0008539999999999999
1630679468704,0.043248999999999996,0.073322,-0.016226
1630679468713,0.047519,0.050081,-0.03721
1630679468723,0.032452,0.011651,-0.06039
1630679468733,0.042151,-0.040748,-0.069235
1630679468742,0.060207,-0.059841,-0.031354
1630679468752,0.084241,-0.055937,0.065697
1630679468761,0.117852,-0.025376,0.18964899999999998
1630679468771,0.164273,-0.010369999999999999,0.36356
1630679468781,0.21337799999999998,0.144997,0.72163
1630679468790,0.270108,0.401075,1.199443
1630679468800,0.350628,0.49715,1.475102
1630679468809,0.35319,0.26291,1.297836
1630679468819,0.216428,0.105652,1.09739
1630679468829,0.268339,0.111203,1.0931199999999999
1630679468838,0.41168899999999997,0.126392,1.063901
1630679468848,0.394548,0.30317,1.163697
1630679468857,0.405101,0.522099,1.594845
1630679468867,0.49166,0.559309,1.987563
1630679468877,0.46738199999999996,0.563518,1.998604
1630679468886,0.434503,0.548512,1.998604
1630679468896,0.434686,0.559675,1.998604
1630679468905,0.44286,0.591334,1.998604
1630679468915,0.45078999999999997,0.623176,1.998604
1630679468925,0.42919599999999997,0.628971,1.9522439999999999
1630679468934,0.415532,0.6146969999999999,1.888438
1630679468944,0.41656899999999997,0.59841,1.850862
1630679468953,0.397354,0.5721189999999999,1.780041
1630679468963,0.391559,0.516487,1.653283
1630679468973,0.377529,0.44334799999999996,1.474126
1630679468982,0.357338,0.37899299999999997,1.283135
1630679468992,0.322507,0.347151,1.11935
1630679469001,0.288347,0.319457,0.970388
1630679469011,0.250344,0.295423,0.8294779999999999
1630679469021,0.21307299999999998,0.26187299999999997,0.6874089999999999
1630679469030,0.150792,0.224358,0.562298
1630679469040,0.11022699999999999,0.183549,0.451461
1630679469049,0.096136,0.139629,0.359046
1630679469059,0.077775,0.09211,0.263093
1630679469069,0.061488,0.045689,0.168299
1630679469078,0.040015999999999996,0.008845,0.082167
1630679469088,0.002928,-0.004392,0.028975
1630679469097,0.032452,-0.031476,0.015493999999999999
1630679469107,0.067893,0.036173,0.06039
1630679469117,0.088145,0.100406,0.126819
1630679469126,0.12395199999999999,0.109068,0.137372
1630679469136,0.116632,0.093147,0.10065
1630679469145,0.069784,0.060816999999999996,0.048007
1630679469155,0.036417,0.0183,0.011407
1630679469165,-0.008479,0.016958,0.044042
1630679469174,-0.0046359999999999995,0.04209,0.15359799999999998
1630679469184,0.022326,0.138531,0.388204
1630679469193,0.093818,0.302865,0.702964
1630679469203,0.200873,0.433405,0.9776469999999999
1630679469213,0.246074,0.42456,1.083238
1630679469222,0.189893,0.317749,1.030595
1630679469232,0.094794,0.15512299999999998,0.960262
1630679469241,0.090402,0.09333,1.041819
1630679469251,0.114131,0.107787,1.208593
1630679469261,0.237534,0.177388,1.356823
1630679469270,0.272182,0.35709399999999997,1.525
1630679469280,0.289506,0.75579,1.885937
1630679469289,0.444507,0.9736819999999999,1.998604
1630679469299,0.379115,0.954772,1.998604
1630679469309,0.236558,0.8130689999999999,1.998604
1630679469318,0.19886,0.685518,1.998604
1630679469328,0.179706,0.726632,1.998604
1630679469337,0.189771,0.6904589999999999,1.990125
