timestamp,gx,gy,gz
1630680031663,0.8400000000000001,3.2550000000000003,-8.120000000000001
1630680031673,0.24500000000000002,3.6225000000000005,-8.4875
1630680031682,-0.14,4.095000000000001,-8.732500000000002
1630680031692,-0.43750000000000006,4.235,-8.697500000000002
1630680031701,-0.8225000000000001,3.5875000000000004,-8.33
1630680031711,-1.2775,3.6050000000000004,-7.630000000000001
1630680031721,-1.5225000000000002,2.9575000000000005,-6.807500000000001
1630680031730,-1.7850000000000001,2.4675000000000002,-5.932500000000001
1630680031740,-1.8900000000000001,2.3800000000000003,-5.215000000000001
1630680031749,-1.7675,2.8175000000000003,-4.322500000000001
1630680031759,-1.435,2.9050000000000002,-3.6750000000000003
1630680031769,-1.1900000000000002,1.9075000000000002,-2.3800000000000003
1630680031778,-1.1375000000000002,1.54,-1.5225000000000002
1630680031788,-0.8575,1.0850000000000002,-0.77
1630680031797,-0.8575,0.45500000000000007,0.10500000000000001
1630680031807,-0.9625000000000001,-0.052500000000000005,1.1025
1630680031817,-1.225,0.1925,2.345
1630680031826,-1.2950000000000002,-0.14,3.22
1630680031836,-0.2625,-0.47250000000000003,3.8150000000000004
1630680031845,0.77,-0.28,4.8825
1630680031855,1.54,-0.21000000000000002,5.3025
1630680031865,2.1875,0.10500000000000001,5.075
1630680031874,2.6075000000000004,-0.07,4.9175
1630680031884,3.0450000000000004,-0.525,4.9
1630680031893,3.4475000000000002,-0.31500000000000006,4.812500000000001
1630680031903,3.9725000000000006,-0.21000000000000002,4.322500000000001
1630680031913,4.305000000000001,-0.15750000000000003,4.62
1630680031922,4.532500000000001,-0.49000000000000005,4.41
1630680031932,4.445,-1.2075,4.69
1630680031941,5.250000000000001,-2.1350000000000002,4.9175
1630680031951,4.812500000000001,-1.435,5.845000000000001
1630680031961,4.8475,-2.1525000000000003,6.4225
1630678967008,-1.7325000000000002,-4.2,-1.1375000000000002
1630678967017,-2.6950000000000003,-5.5825000000000005,0.24500000000000002
1630678967027,-3.5700000000000003,-7.227500000000001,1.7500000000000002
1630678967036,-4.655,-8.05,3.1500000000000004
1630678967046,-5.32,-8.3125,4.48
1630678967056,-5.425000000000001,-8.435,5.53
1630678967065,-5.7575,-8.96,6.335000000000001
1630678967075,-6.1775,-9.520000000000001,6.3875
1630678967084,-6.527500000000001,-9.555000000000001,6.265000000000001
1630678967094,-6.6325,-10.010000000000002,6.580000000000001
1630678967104,-6.772500000000001,-10.6925,6.9125000000000005
1630678967113,-6.615,-10.99,7.175000000000001
1630678967123,-6.4225,-10.500000000000002,7.280000000000001
1630678967132,-6.1775,-10.062500000000002,7.280000000000001
1630678967142,-6.0200000000000005,-9.922500000000001,7.1225000000000005
1630678967152,-5.845000000000001,-9.537500000000001,6.86
1630678967161,-5.845000000000001,-9.3975,6.6675
1630678967171,-5.8100000000000005,-9.537500000000001,6.86
1630678967180,-5.635000000000001,-9.957500000000001,7.245000000000001
1630678967190,-5.1275,-10.027500000000002,7.630000000000001
1630678967200,-4.8825,-10.1675,7.735
1630678967209,-4.41,-10.1325,7.612500000000001
1630678967219,-3.6050000000000004,-10.062500000000002,7.455000000000001
1630678967228,-2.87,-10.0975,7.227500000000001
1630678967238,-1.9600000000000002,-9.992500000000001,6.720000000000001
1630678967248,-1.1375000000000002,-9.2575,5.7925
1630678967257,-0.28,-9.100000000000001,4.9175
1630678967267,0.47250000000000003,-9.520000000000001,4.0600000000000005
1630678967276,0.8750000000000001,-9.992500000000001,3.1325000000000003
1630678967286,1.2075,-10.325000000000001,2.1700000000000004
1630678967296,1.5050000000000001,-10.307500000000001,1.1725
1630678967305,1.8375000000000001,-9.922500000000001,0.385
1630678967315,2.555,-9.625000000000002,-0.36750000000000005
1630678967324,3.115,-9.502500000000001,-1.1900000000000002
1630678967334,3.2900000000000005,-9.537500000000001,-1.8375000000000001
1630678967344,3.6925000000000003,-9.625000000000002,-2.4675000000000002
1630678967353,4.0600000000000005,-9.73,-2.9050000000000002
1630678967363,4.322500000000001,-10.010000000000002,-3.3600000000000003
