timestamp,vertical,lateral,sagittal
1630678967002,-0.963855421686747,0.012048192771084338,0.25301204819277107
1630678967012,-0.963855421686747,0.012048192771084338,0.24096385542168675
1630678967022,-0.963855421686747,0.0,0.21686746987951808
1630678967032,-0.963855421686747,-0.012048192771084338,0.2289156626506024
1630678967042,-0.963855421686747,0.012048192771084338,0.2289156626506024
1630678967052,-0.9759036144578314,0.024096385542168676,0.21686746987951808
1630678967062,-0.963855421686747,-0.012048192771084338,0.24096385542168675
1630678967072,-0.963855421686747,-0.024096385542168676,0.24096385542168675
1630678967082,-0.963855421686747,0.0,0.25301204819277107
1630678967092,-0.963855421686747,-0.024096385542168676,0.26506024096385544
1630678967102,-0.963855421686747,-0.012048192771084338,0.25301204819277107
1630678967112,-0.963855421686747,0.0,0.24096385542168675
1630678967122,-0.9759036144578314,-0.024096385542168676,0.25301204819277107
1630678967132,-0.963855421686747,0.0,0.24096385542168675
1630678967142,-0.963855421686747,0.0,0.24096385542168675
1630678967152,-0.963855421686747,-0.03614457831325301,0.25301204819277107
1630678967162,-0.963855421686747,-0.024096385542168676,0.25301204819277107
1630678967172,-0.963855421686747,0.0,0.26506024096385544
1630678967182,-0.963855421686747,0.0,0.25301204819277107
1630678967192,-0.963855421686747,-0.024096385542168676,0.25301204819277107
1630678967202,-0.963855421686747,-0.012048192771084338,0.24096385542168675
1630678967212,-0.963855421686747,-0.012048192771084338,0.24096385542168675
1630678967222,-0.963855421686747,0.0,0.25301204819277107
1630678967232,-0.963855421686747,-0.012048192771084338,0.27710843373493976
1630678967242,-0.963855421686747,-0.024096385542168676,0.26506024096385544
1630678967252,-0.963855421686747,-0.024096385542168676,0.26506024096385544
1630678967262,-0.963855421686747,0.0,0.24096385542168675
1630678967272,-0.963855421686747,-0.024096385542168676,0.24096385542168675
1630678967282,-0.963855421686747,0.0,0.25301204819277107
1630678967292,-0.9759036144578314,0.0,0.25301204819277107
1630678967302,-0.963855421686747,-0.024096385542168676,0.24096385542168675
1630678967312,-0.9759036144578314,-0.012048192771084338,0.2289156626506024
1630678967322,-0.9397590361445783,-0.012048192771084338,0.24096385542168675
1630678967332,-0.9518072289156626,0.012048192771084338,0.2289156626506024
1630678967342,-0.9518072289156626,0.012048192771084338,0.26506024096385544
1630678967352,-0.9518072289156626,0.0,0.25301204819277107
1630678967362,-0.9518072289156626,0.012048192771084338,0.25301204819277107
1630678967372,-0.9518072289156626,0.0,0.25301204819277107
1630678967382,-0.9518072289156626,-0.03614457831325301,0.25301204819277107
1630678967392,-0.9518072289156626,-0.03614457831325301,0.25301204819277107
1630678967402,-0.963855421686747,-0.012048192771084338,0.26506024096385544
1630678967412,-0.9879518072289156,-0.024096385542168676,0.24096385542168675
1630678967422,-0.9879518072289156,-0.024096385542168676,0.25301204819277107
1630678967432,-0.9759036144578314,-0.012048192771084338,0.2891566265060241
1630678967442,-0.9518072289156626,0.0,0.25301204819277107
1630678967452,-0.9518072289156626,-0.024096385542168676,0.26506024096385544
1630678967462,-0.9518072289156626,-0.024096385542168676,0.25301204819277107
1630678967472,-0.9518072289156626,-0.03614457831325301,0.2289156626506024
1630678967482,-0.9518072289156626,0.012048192771084338,0.2289156626506024
1630678967492,-0.9518072289156626,0.0,0.25301204819277107
1630678967502,-0.9518072289156626,-0.012048192771084338,0.26506024096385544
1630678967512,-0.9518072289156626,-0.012048192771084338,0.25301204819277107
1630678967522,-0.9518072289156626,0.0,0.24096385542168675
1630678967532,-0.9759036144578314,-0.012048192771084338,0.25301204819277107
1630678967542,-0.9397590361445783,-0.024096385542168676,0.26506024096385544
1630678967552,-0.963855421686747,-0.04819277108433735,0.27710843373493976
1630678967562,-0.9759036144578314,-0.024096385542168676,0.2891566265060241
1630678967572,-0.963855421686747,-0.024096385542168676,0.27710843373493976
1630678967582,-0.963855421686747,-0.024096385542168676,0.2891566265060241
1630678967592,-0.9518072289156626,0.0,0.27710843373493976
1630678967602,-0.9518072289156626,0.0,0.27710843373493976
1630678967612,-0.9518072289156626,-0.024096385542168676,0.27710843373493976
1630678967622,-0.9759036144578314,-0.024096385542168676,0.27710843373493976
1630678967632,-0.9759036144578314,-0.03614457831325301,0.2891566265060241
1630678967642,-0.9759036144578314,-0.03614457831325301,0.2891566265060241
1630678967652,-0.963855421686747,-0.04819277108433735,0.2891566265060241
1630678967662,-0.963855421686747,-0.024096385542168676,0.27710843373493976
1630678967672,-0.9397590361445783,-0.03614457831325301,0.27710843373493976
1630678967682,-0.9397590361445783,-0.03614457831325301,0.27710843373493976
1630678967692,-0.9518072289156626,-0.04819277108433735,0.25301204819277107
1630678967702,-0.927710843373494,-0.04819277108433735,0.25301204819277107
1630678967712,-0.963855421686747,-0.024096385542168676,0.24096385542168675
1630678967722,-0.963855421686747,-0.024096385542168676,0.24096385542168675
1630678967732,-0.963855421686747,-0.03614457831325301,0.26506024096385544
1630678967742,-0.963855421686747,-0.024096385542168676,0.25301204819277107
1630678967752,-0.9759036144578314,-0.03614457831325301,0.24096385542168675
1630678967762,-0.9759036144578314,-0.03614457831325301,0.24096385542168675
1630678967772,-0.963855421686747,-0.024096385542168676,0.21686746987951808
1630678967782,-0.9518072289156626,-0.03614457831325301,0.21686746987951808
1630678967792,-0.963855421686747,-0.04819277108433735,0.25301204819277107
1630678967802,-0.963855421686747,-0.04819277108433735,0.25301204819277107
1630678967812,-0.963855421686747,-0.012048192771084338,0.2289156626506024
