timestamp,duration
1630678969402,3640                          
1630678973042,3320
1630678976362,2760
1630678979122,3000
1630678982122,4120
1630678986242,3880
1630678990122,3520
1630678993642,2800
1630678996442,3080
1630678999522,2840
1630679002362,2560
1630679004922,3800
1630679008722,3840
1630679012562,3640
1630679016202,3000
1630679019202,2760
1630679021962,3480
1630679025442,1400
1630679026842,3040
1630679029882,2880
1630679032762,3080
1630679035842,2560
1630679038402,2640
1630679041042,2520
1630679043562,3840
1630679047402,3080
1630679050482,2200
1630679052682,5240
1630679057922,2120
1630679060042,2360
1630679062402,2160
1630679064562,3440
1630679068002,2680
1630679070682,5400
1630679076082,2480
1630679078562,5400
1630679083962,5760
1630679089722,5040
1630679094762,2160
1630679096922,3960
1630679100882,1920
1630679102802,2640
1630679105442,2880
1630679108322,2400
1630679110722,2400
1630679113122,2920
1630679116042,2360
1630679118402,2680
1630679121082,2960
1630679124042,2840
1630679126882,2680
1630679129562,2280
1630679131842,2760
1630679134602,3560
1630679138162,3080
1630679141242,2200
1630679143442,2920
1630679146362,2880
1630679149242,2400
1630679151642,2760
1630679154402,2560
1630679156962,2560
1630679159522,2280
1630679161802,2520
1630679164322,2080
1630679166402,2960
1630679169362,2240
1630679171602,2360
1630679173962,2600
1630679176562,1640
1630679178202,3000
1630679181202,3120
1630679184322,2960
1630679187282,2800
1630679190082,2760
1630679192842,2920
1630679195762,2920
1630679198682,2640
1630679201322,2840
1630679204162,2360
1630679206522,2560
1630679209082,2640
1630679211722,2440
1630679214162,2840
1630679217002,2520
1630679219522,2520
1630679222042,2880
1630679224922,3480
1630679228402,3560
1630679231962,4520
1630679236482,2920
1630679239402,3480
1630679242882,3200
1630679246082,2880
1630679248962,2400
1630679251362,3160
1630679254522,3440
1630679257962,3080
1630679261042,4160
1630679265202,7760
1630679272962,2680
1630679275642,4520
1630679280162,3360
1630679283522,2480
1630679286002,3760
1630679289762,2800
1630679292562,1400
1630679293962,2320
1630679296282,2080
1630679298362,1760
1630679300122,2000
1630679302122,1840
1630679303962,1920
1630679305882,1840
1630679307722,2320
1630679310042,1560
1630679311602,2000
1630679313602,3200
1630679316802,1960
1630679318762,2880
1630679321642,1800
1630679323442,1920
1630679325362,1240
1630679326602,3600
1630679330202,1440
1630679331642,1040
1630679332682,1320
1630679334002,2240
1630679336242,2680
1630679338922,1760
1630679340682,1840
1630679342522,1440
1630679343962,1720
1630679345682,1880
1630679347562,3880
1630679351442,1720
1630679353162,2200
1630679355362,2720
1630679358082,5360
1630679363442,2880
1630679366322,1240
1630679367562,1480
1630679369042,1680
1630679370722,1520
1630679372242,1760
1630679374002,3080
1630679377082,3440
1630679380522,1160
1630679381682,1480
1630679383162,1320
1630679384482,1400
1630679385882,2720
1630679388602,1960
1630679390562,1880
1630679392442,960
1630679393402,1680
1630679395082,1520
1630679396602,1160
1630679397762,1240
1630679399002,2680
1630679401682,1320
1630679403002,1320
1630679404322,1360
1630679405682,1920
1630679407602,1240
1630679408842,1200
1630679410042,1400
1630679411442,1640
1630679413082,1760
1630679414842,1600
1630679416442,1680
1630679418122,2800
1630679420922,1360
1630679422282,1400
1630679423682,1040
1630679424722,1520
1630679426242,1120
1630679427362,2320
1630679429682,1400
1630679431082,1000
1630679432082,1520
1630679433602,1160
1630679434762,1200
1630679435962,1040
1630679437002,1440
1630679438442,1160
1630679439602,1320
1630679440922,1000
1630679441922,2480
1630679444402,800
1630679445202,1000
1630679446202,1560
1630679447762,1000
1630679448762,1400
1630679450162,1080
1630679451242,3720
1630679454962,2040
1630679457002,1640
1630679458642,1360
1630679460002,1440
1630679461442,1200
1630679462642,1360
1630679464002,1120
1630679465122,1440
1630679466562,1560
1630679468122,2440
1630679470562,1120
1630679471682,1360
1630679473042,1360
