timestamp,green,ir,red
1630679470262,34591,178158,177854
1630679470272,34660,178493,178207
1630679470282,34739,178812,178604
1630679470292,34827,179151,178936
1630679470302,34817,179167,178910
1630679470312,34990,180031,179976
1630679470322,35156,180583,180366
1630679470332,34561,177970,177047
1630679470342,33345,173087,171413
1630679470352,32370,169184,167146
1630679470362,31965,167782,165633
1630679470372,32126,168503,166502
1630679470382,32633,170651,169127
1630679470392,34001,176360,176936
1630679470402,37896,191266,196721
1630679470412,41018,202528,209579
1630679470422,40276,198907,205158
1630679470432,38688,192727,198611
1630679470442,38178,190972,197137
1630679470452,38195,190876,197106
1630679470462,38146,190761,197031
1630679470472,38438,192065,198480
1630679470482,38500,192214,198291
1630679470492,38031,190353,196183
1630679470502,37557,188213,193777
1630679470512,36546,183949,189127
1630679470522,35856,181078,186064
1630679470532,35256,178551,183378
1630679470542,34682,176273,180994
1630679470552,34434,175308,179976
1630679470562,34413,175310,180088
1630679470572,34468,175597,180542
1630679470582,34671,176521,181649
1630679470592,34933,177764,183274
1630679470602,35385,179507,185332
1630679470612,35901,181913,188489
1630679470622,36521,184441,191370
1630679470632,37291,187696,195438
1630679470642,37908,190087,198121
1630679470652,38006,190202,197919
1630679470662,36915,185847,192063
1630679470672,34778,177363,180107
1630679470682,31913,166460,166575
1630679470692,29881,158592,157183
1630679470702,29187,156160,154884
1630679470712,29280,156660,155728
1630679470722,29152,156150,155141
1630679470732,29043,155841,154844
1630679470742,28989,155619,154671
1630679470752,28941,155624,154580
1630679470762,28993,155953,154978
1630679470772,29100,156436,155502
1630679470782,29198,156971,155863
1630679470792,29254,157331,156162
1630679470802,29432,158004,157204
1630679470812,29703,158916,158962
1630679470822,29083,155704,155432
1630679470832,28028,151191,151041
1630679470842,27188,147126,146304
1630679470852,26438,144005,143327
1630679470862,26408,143876,143760
1630679470872,27797,149748,150690
1630679470882,28181,151225,152558
1630679470892,28576,152507,153878
1630679470902,28084,150441,151580
1630679470912,27784,149140,150211
1630679470922,27799,149264,150443
1630679470932,28035,150285,151561
1630679470942,28280,151382,152910
1630679470952,28633,152970,154844
1630679470962,29089,154933,157194
1630679470972,29419,156358,158811
1630679470982,29544,156888,159462
1630679470992,29576,157099,159760
1630679471002,29559,157046,159770
1630679471012,29596,157302,160143
1630679471022,29800,158232,161343
1630679471032,30022,159141,162437
1630679471042,30138,159682,163154
1630679471052,30360,160650,164424
1630679471062,30701,162125,166212
1630679471072,31119,163922,168512
1630679471082,31587,165811,170814
1630679471092,31773,166325,171322
1630679471102,31210,163575,167599
1630679471112,29841,157795,160459
1630679471122,28545,152316,153502
1630679471132,27264,146678,146986
1630679471142,26877,144759,145016
1630679471152,26629,143266,143438
1630679471162,26498,142368,142607
1630679471172,26569,142465,142954
1630679471182,26965,144010,144942
1630679471192,27516,146144,147611
1630679471202,28662,150642,153573
1630679471212,32230,165185,171715
1630679471222,35347,177405,184876
1630679471232,34569,173039,179595
1630679471242,33601,168045,174113
1630679471252,32483,163214,168570
1630679471262,32138,161993,167306
1630679471272,32207,162436,167732
1630679471282,32886,165559,171163
1630679471292,33367,167767,173891
1630679471302,33677,168797,174826
1630679471312,32556,163239,168314
1630679471322,31102,156450,160678
1630679471332,30335,152958,156726
1630679471342,29682,150091,153078
1630679471352,29239,148232,151310
1630679471362,29398,149074,151803
1630679471372,29789,151056,153841
1630679471382,29936,151742,154644
1630679471392,30115,152514,155555
1630679471402,30471,154225,157774
1630679471412,31107,156959,161157
1630679471422,32395,162705,167757
1630679471432,33589,167810,173963
1630679471442,34370,170732,177544
1630679471452,35488,174707,181820
1630679471462,34275,169350,174828
1630679471472,32576,162214,166867
1630679471482,30783,155048,158246
1630679471492,29105,147743,149575
1630679471502,27613,140930,142352
1630679471512,26158,135098,136294
1630679471522,25267,131915,132821
1630679471532,24507,129060,129593
1630679471542,24131,126858,126987
1630679471552,23671,125295,125051
1630679471562,23268,123728,123093
1630679471572,22883,122076,121173
1630679471582,22545,120356,119303
1630679471592,22296,118746,117808
1630679471602,22589,119070,119041
1630679471612,24024,123225,125173
1630679471622,25937,129110,132731
1630679471632,27565,133697,138340
1630679471642,28067,133641,138304
1630679471652,28668,134553,139694
1630679471662,29655,137857,143227
1630679471672,30771,141796,147098
1630679471682,32106,147322,152239
1630679471692,33501,153693,158174
1630679471702,34250,156511,160418
1630679471712,35252,161087,164997
1630679471722,35778,163606,167271
1630679471732,36128,165607,169034
1630679471742,36322,166821,170083
1630679471752,36396,167361,170645
1630679471762,36494,167983,171374
1630679471772,36639,168972,172577
1630679471782,36893,170591,174238
1630679471792,37187,172439,176338
1630679471802,37376,173462,177709
1630679471812,37537,174417,178859
1630679471822,37670,175157,179713
1630679471832,37770,175756,180333
1630679471842,37873,176251,180802
1630679471852,37991,176764,181222
1630679471862,38204,177823,181835
1630679471872,38364,178399,181843
1630679471882,38259,177587,180792
1630679471892,37877,175257,178325
1630679471902,36986,170314,173192
1630679471912,35793,164395,167261
1630679471922,33976,155989,159349
1630679471932,31889,147456,150515
1630679471942,28895,133320,137518
1630679471952,25377,118440,123247
1630679471962,21632,103586,114688
1630679471972,19207,93671,98024
1630679471982,19626,93101,98899
1630679471992,24047,113351,112851
1630679472002,23937,112254,106026
1630679472012,17831,81920,81920
1630679472022,12237,50711,49152
1630679472032,8541,32768,24828
1630679472042,6684,28509,20848
1630679472052,4894,30715,20606
1630679472062,4371,21810,15382
1630679472072,2364,9300,5877
1630679472082,1099,12722,4723
1630679472092,892,8562,2896
1630679472102,775,2602,1716
1630679472112,749,1300,1558
1630679472122,749,1138,1558
1630679472132,744,1161,1559
1630679472142,747,1075,1554
1630679472152,730,892,1524
1630679472162,736,839,1559
1630679472172,867,1555,2179
1630679472182,862,1075,2092
1630679472192,781,931,1653
1630679472202,795,1066,1729
1630679472212,740,851,1572
1630679472222,736,847,1541
1630679472232,745,862,1578
1630679472242,1074,15464,3108
1630679472252,1677,57396,4451
1630679472262,1171,32768,2831
1630679472272,773,1156,1631
1630679472282,736,843,1536
1630679472292,742,850,1548
1630679472302,749,1130,1634
1630679472312,783,3157,1683
1630679472322,776,3068,1613
1630679472332,753,1475,1565
1630679472342,752,1291,1592
1630679472352,742,1262,1660
1630679472362,745,1174,1627
1630679472372,751,1207,1577
1630679472382,734,1326,1549
1630679472392,734,996,1543
1630679472402,737,916,1532
1630679472412,746,993,1558
1630679472422,748,1224,1567
1630679472432,768,1151,1692
1630679472442,752,1064,1645
1630679472452,774,1114,1836
1630679472462,845,1520,2190
1630679472472,922,1974,2598
1630679472482,818,1094,1889
1630679472492,743,912,1534
1630679472502,745,1059,1567
1630679472512,739,1110,1627
1630679472522,742,1106,1625
1630679472532,743,1122,1591
1630679472542,749,980,1546
1630679472552,743,962,1550
1630679472562,752,1097,1559
1630679472572,759,1358,1568
1630679472582,751,1049,1583
1630679472592,750,899,1590
1630679472602,1256,39467,6622
1630679472612,5465,57769,16444
1630679472622,2136,90309,4823
1630679472632,1232,65536,2868
1630679472642,1269,38789,3052
1630679472652,866,16384,1924
1630679472662,795,2384,1712
1630679472672,789,1709,1712
1630679472682,789,2628,1685
1630679472692,804,4635,1742
1630679472702,800,4748,1740
1630679472712,804,3713,1734
1630679472722,810,3424,1723
1630679472732,786,3559,1664
1630679472742,754,2124,1610
1630679472752,756,1714,1680
1630679472762,754,1643,1645
1630679472772,749,1906,1629
1630679472782,753,1815,1585
1630679472792,754,1711,1571
1630679472802,753,1624,1565
1630679472812,751,1712,1566
1630679472822,744,1629,1572
1630679472832,746,1588,1592
1630679472842,733,1407,1559
1630679472852,744,1237,1554
1630679472862,735,1137,1558
1630679472872,746,1015,1556
1630679472882,732,941,1565
1630679472892,744,966,1564
1630679472902,746,1003,1566
1630679472912,741,1043,1557
1630679472922,745,1026,1563
1630679472932,751,1005,1603
1630679472942,783,1167,1812
1630679472952,880,1821,2302
1630679472962,855,1852,1997
1630679472972,899,2211,2138
1630679472982,3192,6622,9351
1630679472992,722,819,1507
1630679473002,722,819,1492
1630679473012,724,808,1509
1630679473022,714,832,1516
1630679473032,781,1011,2376
1630679473042,1230,2920,4380
1630679473052,1135,2626,3635
1630679473062,1033,2211,3177
1630679473072,922,1660,2541
1630679473082,836,1266,2015
1630679473092,792,1095,1850
1630679473102,774,1022,1726
1630679473112,756,1059,1615
1630679473122,747,1082,1598
1630679473132,753,1027,1619
1630679473142,754,998,1641
1630679473152,758,1035,1668
1630679473162,775,1088,1740
1630679473172,785,1193,1805
1630679473182,792,1281,1822
1630679473192,788,1282,1792
1630679473202,785,1190,1775
1630679473212,778,1083,1763
1630679473222,766,982,1713
1630679473232,757,912,1668
1630679473242,752,892,1637
1630679473252,754,902,1650
1630679473262,755,916,1696
1630679473272,770,961,1775
1630679473282,789,1026,1879
1630679473292,801,1065,1968
1630679473302,802,1022,1948
1630679473312,779,926,1770
1630679473322,748,863,1658
1630679473332,740,852,1640
1630679473342,761,874,1763
1630679473352,870,1213,2592
1630679473362,2032,6245,10573
1630679473372,57583,57797,57807
1630679473382,32768,32768,36441
1630679473392,3312,9323,16384
1630679473402,3998,9421,18390
1630679473412,4004,11461,17878
1630679473422,3595,13310,15003
1630679473432,2896,10229,12102
1630679473442,2665,9116,12488
1630679473452,3468,11054,17679
1630679473462,2741,6546,12625
1630679473472,1624,3311,6660
1630679473482,1113,1921,3766
1630679473492,1132,2239,3580
1630679473502,2036,5793,7302
1630679473512,5138,17480,17703
1630679473522,2986,10680,8197
1630679473532,2856,11062,8813
1630679473542,3133,11900,9147
1630679473552,1986,6288,7109
1630679473562,1609,4372,5935
1630679473572,1531,4246,3685
1630679473582,1764,10260,4452
1630679473592,1843,7210,6716
1630679473602,1459,5911,3074
1630679473612,884,2253,1895
1630679473622,4976,21864,25129
1630679473632,8334,31252,35349
1630679473642,8035,27553,30577
1630679473652,4359,15016,13654
1630679473662,7383,25280,26974
1630679473672,3070,11230,7582
1630679473682,2473,8763,8053
1630679473692,11293,38895,45073
1630679473702,41510,57720,74281
1630679473712,32788,90328,106721
1630679473722,22552,76616,94270
1630679473732,35018,112687,137195
1630679473742,20911,98304,114688
1630679473752,7771,65536,81920
1630679473762,20517,75667,89026
1630679473772,42588,106699,106884
1630679473782,61647,139630,139816
1630679473792,85820,172387,172566
1630679473802,93879,205156,205330
1630679473812,91344,237741,238125
1630679473822,83755,247879,270729
1630679473832,69131,212992,292723
1630679473842,70022,218533,275700
1630679473852,49152,180224,262144
1630679473862,16384,147456,229376
1630679473872,2724,114688,196608
1630679473882,2930,81920,163840
1630679473892,2715,49152,131072
1630679473902,2543,16384,98304
1630679473912,2618,8276,65536
1630679473922,2779,8156,32768
1630679473932,3197,8352,12660
1630679473942,3755,9535,14283
1630679473952,4268,10811,16372
1630679473962,4572,11730,18227
1630679473972,4730,12409,20211
1630679473982,5018,13410,23437
1630679473992,5865,15481,28772
1630679474002,7470,19247,36450
1630679474012,11059,27398,51224
1630679474022,11309,25734,46756
1630679474032,9081,19416,35807
1630679474042,8561,17913,32568
1630679474052,8942,18513,33400
1630679474062,10132,21172,38067
1630679474072,12682,27484,48950
1630679474082,18156,43195,73294
1630679474092,29422,73787,106744
1630679474102,42722,106721,139680
1630679474112,56699,139492,172442
1630679474122,70112,172249,205375
1630679474132,80362,205020,238077
1630679474142,85573,237773,270900
1630679474152,87197,270353,303701
1630679474162,86837,286315,336269
1630679474172,85393,293309,369022
1630679474182,85270,298480,401632
1630679474192,86279,302003,415408
1630679474202,87078,301339,413351
1630679474212,88315,298851,409515
1630679474222,87731,291120,400045
1630679474232,84026,278528,376832
1630679474242,76711,245760,344064
1630679474252,66686,212992,311296
1630679474262,55686,180224,278528
1630679474272,44664,147456,245760
1630679474282,37436,114688,212992
1630679474292,33300,83133,180224
1630679474302,29844,71607,147456
1630679474312,26813,61937,114688
1630679474322,23371,51046,81920
1630679474332,19187,37526,60200
1630679474342,14203,23579,49152
1630679474352,9504,12418,29449
1630679474362,5672,5656,17644
1630679474372,3170,3371,9924
1630679474382,1732,3279,4913
1630679474392,1373,4392,2790
1630679474402,1566,5467,2426
1630679474412,1551,5385,2297
1630679474422,1424,4946,2202
1630679474432,1355,4709,2164
1630679474442,1283,4416,2116
1630679474452,1197,4025,2081
1630679474462,1094,3596,2037
1630679474472,1007,3130,2000
1630679474482,924,2689,1974
1630679474492,875,2329,1952
1630679474502,850,2182,1955
1630679474512,855,2203,1960
1630679474522,870,2302,1983
1630679474532,894,2490,2021
1630679474542,951,2861,2074
1630679474552,1053,3423,2152
1630679474562,1158,3943,2229
1630679474572,1214,4289,2288
1630679474582,1385,5148,2462
1630679474592,1884,7135,3051
1630679474602,2720,10180,4554
1630679474612,4332,15529,8640
1630679474622,6727,22923,15982
1630679474632,8761,28617,22455
1630679474642,10143,32632,27494
1630679474652,11754,37184,33601
1630679474662,13139,41101,38978
1630679474672,14139,43691,42966
1630679474682,14863,45639,45410
1630679474692,14674,44988,44221
1630679474702,13567,41660,39263
1630679474712,10863,33778,28653
1630679474722,7319,23429,16468
1630679474732,4568,15386,8764
1630679474742,2712,9438,4578
1630679474752,1632,5779,2975
1630679474762,1247,4495,2597
1630679474772,1114,4112,2488
1630679474782,1060,3990,2433
1630679474792,984,3864,2394
1630679474802,955,3718,2356
1630679474812,925,3606,2362
1630679474822,941,3490,2393
1630679474832,928,3299,2498
1630679474842,947,3045,2741
1630679474852,1041,2800,3390
1630679474862,1323,2838,4914
1630679474872,1917,3585,7818
1630679474882,2681,4864,11138
1630679474892,3018,5314,12294
1630679474902,3371,6038,14057
1630679474912,4150,7770,17482
1630679474922,5411,10704,23090
1630679474932,7418,15335,31459
1630679474942,9984,21221,41528
1630679474952,12890,28101,52417
1630679474962,16051,35768,64096
1630679474972,19061,43325,75035
1630679474982,21692,49694,84120
1630679474992,23727,54997,91043
1630679475002,25065,58646,95722
1630679475012,26271,61817,100125
1630679475022,27876,66263,105939
1630679475032,29741,71396,112664
1630679475042,31828,76951,119755
1630679475052,33037,80087,123635
1630679475062,33734,81974,125860
1630679475072,33840,82439,126155
1630679475082,34636,84564,128770
1630679475092,36574,89953,136741
1630679475102,40065,98743,148350
1630679475112,44159,109137,161325
1630679475122,47684,119337,171215
1630679475132,50779,129492,178537
1630679475142,53840,138741,186451
1630679475152,55214,141781,189492
1630679475162,54077,136899,185904
1630679475172,50813,126164,177038
1630679475182,46786,114688,165168
1630679475192,42750,103450,152394
1630679475202,39117,93817,140697
1630679475212,36617,87298,132401
1630679475222,34371,81417,124713
1630679475232,32309,75956,117845
1630679475242,31456,73402,115323
1630679475252,31739,73657,116535
1630679475262,32614,75175,119474
1630679475272,34285,78620,125270
1630679475282,36677,83674,133225
1630679475292,38683,87854,139620
1630679475302,40419,91676,145329
1630679475312,42423,96172,152146
1630679475322,44190,100037,157860
1630679475332,45165,102127,160832
1630679475342,46047,104442,164115
1630679475352,49536,113572,177249
1630679475362,52357,121673,185909
1630679475372,43631,103284,152540
1630679475382,29957,81920,131072
1630679475392,25412,63517,98304
1630679475402,25124,62812,88986
1630679475412,23841,59697,82822
1630679475422,21760,53917,71523
1630679475432,22313,56106,71933
1630679475442,24350,60677,75628
1630679475452,27035,67028,83061
1630679475462,28662,70865,86472
1630679475472,29210,73064,87173
1630679475482,28527,72557,85867
1630679475492,27490,70688,83500
1630679475502,26401,68549,80535
1630679475512,25189,66046,77176
1630679475522,23828,63364,73980
1630679475532,22142,60375,70477
1630679475542,19903,56471,66333
1630679475552,17289,52569,61280
1630679475562,14621,48108,55656
1630679475572,12708,44835,51326
1630679475582,11969,43698,49668
1630679475592,12043,44106,49898
1630679475602,12385,45058,50822
1630679475612,12423,45356,51095
1630679475622,11788,44837,49894
1630679475632,10512,45131,48167
1630679475642,9609,52936,50600
1630679475652,9324,75414,62052
1630679475662,10572,106535,87361
1630679475672,14803,139464,115595
1630679475682,19025,158076,125014
1630679475692,21938,150811,127638
1630679475702,23951,146325,127021
1630679475712,24669,142551,124591
1630679475722,25100,139830,124313
1630679475732,25626,138622,125167
1630679475742,26598,139370,128249
1630679475752,27180,138902,129808
1630679475762,27477,138612,130902
1630679475772,27621,137542,131274
1630679475782,27342,134747,130145
1630679475792,26926,130809,127842
1630679475802,26092,125362,123897
1630679475812,25909,124173,123634
1630679475822,26510,126854,127229
1630679475832,27905,132760,134684
1630679475842,30772,143122,148164
1630679475852,34415,157479,167370
1630679475862,40532,183621,188631
1630679475872,47315,215846,221400
1630679475882,53163,244410,254166
1630679475892,57971,264482,286932
1630679475902,59144,273757,301028
1630679475912,59001,275496,298604
1630679475922,58544,272608,295530
1630679475932,57462,266612,289255
1630679475942,56077,261657,281001
1630679475952,55668,261902,279261
1630679475962,56843,269682,286706
1630679475972,58817,280938,297642
1630679475982,60128,287939,304815
1630679475992,59923,288495,305123
1630679476002,59074,284654,301127
1630679476012,57829,277891,293880
1630679476022,56014,269395,283564
1630679476032,53790,261228,271334
1630679476042,51381,254191,262144
1630679476052,50448,252605,255163
1630679476062,49844,251960,251903
1630679476072,49547,251948,250263
1630679476082,49322,251385,248758
1630679476092,48947,249829,246694
1630679476102,48589,248272,244819
1630679476112,48394,246993,243860
1630679476122,48531,247029,244575
1630679476132,48845,248282,245707
1630679476142,49439,251866,248380
1630679476152,50302,257525,252580
1630679476162,51348,265748,257676
1630679476172,51987,273742,261584
1630679476182,52237,280121,264160
1630679476192,52324,284595,265543
1630679476202,52154,285941,265169
1630679476212,51568,283930,262300
1630679476222,50573,278739,257175
1630679476232,48981,270287,249152
1630679476242,47052,259448,239564
1630679476252,45489,249520,231650
1630679476262,44342,241449,225895
1630679476272,43581,235221,221946
1630679476282,43035,230464,219188
1630679476292,42836,226967,218560
1630679476302,43003,224502,219176
1630679476312,42762,219574,216908
1630679476322,41684,211208,209978
1630679476332,39981,201813,200523
1630679476342,38591,193898,191818
1630679476352,37583,190320,187029
1630679476362,37285,192308,187102
1630679476372,38130,200587,193960
1630679476382,40595,215440,208907
1630679476392,44339,233334,227204
1630679476402,48205,250713,242308
1630679476412,50574,263231,250650
1630679476422,52026,270729,255809
1630679476432,53124,275770,260845
1630679476442,54504,281441,267902
1630679476452,56197,288001,276374
1630679476462,57901,295035,284656
1630679476472,59272,302270,292502
1630679476482,60725,309561,299891
1630679476492,62105,317596,307073
1630679476502,63422,325807,313754
1630679476512,64575,333094,319350
1630679476522,65563,339184,324255
1630679476532,66177,343069,328292
1630679476542,66423,344553,331470
1630679476552,66268,345105,333784
1630679476562,66004,345063,335194
1630679476572,65618,343940,335260
1630679476582,65558,342888,335353
1630679476592,65652,342174,335572
1630679476602,65815,342152,336018
1630679476612,66203,342921,336795
1630679476622,66723,344198,337402
1630679476632,67415,345819,337325
1630679476642,68055,347570,336670
1630679476652,68392,349026,335439
1630679476662,68486,349265,333799
1630679476672,68402,348508,331772
1630679476682,68252,347206,329497
