trialStartTime,stimulusStartTime,stimulusCoords,correctResponse,participantResponse,isCorrectResponse,responseTime,thisBlockTrialNumber,measurementBlock
296.3505044,297.7154525,0.1,comma,comma,1,2.19021144,0,0
298.5820882,299.828787,0.3,period,period,1,1.567522705,1,0
300.1937465,301.5624391,0.3,period,period,1,1.764846129,2,0
301.9913188,303.3161052,0.1,comma,comma,1,1.712316039,3,0
303.7445016,305.0157996,-0.3,z,z,1,1.638925935,4,0
305.4250852,306.4827896,-0.3,z,z,1,1.520485115,5,0
306.97817,308.2829702,-0.1,x,x,1,1.746032822,6,0
308.757428,309.8481114,-0.3,z,z,1,1.540805499,7,0
310.3463688,311.5289869,0.3,period,period,1,1.639745675,8,0
312.0270127,313.5153686,-0.3,z,z,1,1.862051745,9,0
313.9238891,315.082537,-0.3,z,z,1,1.548105793,10,0
315.5141477,316.6622527,-0.3,z,z,1,1.440705996,11,0
316.9920499,318.2817381,0.1,comma,comma,1,1.77885727,12,0
318.8107527,320.0494093,-0.1,x,x,1,1.711019768,13,0
320.5576083,321.862538,0.3,period,period,1,1.683026204,14,0
322.2785926,323.4151833,-0.1,x,x,1,1.793291959,15,0
324.1141324,325.2285115,0.1,comma,comma,1,1.484383115,16,0
325.6460058,326.8615955,0.3,period,period,1,1.615471208,17,0
327.2975185,328.6613593,-0.1,x,x,1,2.115856108,18,0
329.447704,330.7156341,-0.1,x,x,1,1.68157949,19,0
331.1804571,332.2825958,0.1,comma,comma,1,1.5367999,20,0
332.7577131,334.028764,-0.3,z,z,1,1.720380048,21,0
