timestamp,green,ir,red
1630679470283,23692,104934,98656
1630679470293,23830,105636,99115
1630679470303,23902,106125,99487
1630679470313,23970,106631,99794
1630679470323,24039,106908,100040
1630679470333,24086,107273,100329
1630679470343,24164,107663,100645
1630679470353,24200,107884,100836
1630679470363,24193,107835,100818
1630679470373,24121,107359,100428
1630679470383,23929,106176,99427
1630679470393,23594,104096,97731
1630679470403,23142,101492,95639
1630679470413,22823,99892,94409
1630679470423,22824,100206,94704
1630679470433,23018,101420,95641
1630679470443,23157,102228,96229
1630679470453,23184,102219,96264
1630679470463,23022,101091,95339
1630679470473,22663,98798,93465
1630679470483,22257,96483,91638
1630679470493,22007,95242,90634
1630679470503,21984,95263,90574
1630679470513,22009,95545,90685
1630679470523,21967,95442,90439
1630679470533,21913,95268,90212
1630679470543,21921,95317,90251
1630679470553,21938,95338,90294
1630679470563,21951,95342,90307
1630679470573,21984,95524,90450
1630679470583,22071,96022,90921
1630679470593,22209,96822,91586
1630679470603,22359,97677,92269
1630679470613,22460,98379,92769
1630679470623,22565,98930,93127
1630679470633,22673,99494,93521
1630679470643,22750,99976,93834
1630679470653,22816,100331,94126
1630679470663,22927,100900,94629
1630679470673,23070,101713,95344
1630679470683,23263,102757,96261
1630679470693,23442,103720,97073
1630679470703,23561,104312,97572
1630679470713,23602,104457,97691
1630679470723,23577,104318,97577
1630679470733,23572,104270,97545
1630679470743,23578,104313,97547
1630679470753,23586,104371,97588
1630679470763,23589,104371,97607
1630679470773,23563,104252,97525
1630679470783,23418,103363,96733
1630679470793,23016,101088,94778
1630679470803,22586,98722,92857
1630679470813,22344,97536,91957
1630679470823,22418,98064,92545
1630679470833,22630,99268,93620
1630679470843,22788,100103,94449
1630679470853,22844,100308,94751
1630679470863,22728,99594,94220
1630679470873,22430,97855,92723
1630679470883,22042,95763,90755
1630679470893,21765,94174,89460
1630679470903,21737,94020,89378
1630679470913,21823,94466,89816
1630679470923,21902,94975,90207
1630679470933,21933,95190,90357
1630679470943,21970,95374,90548
1630679470953,22010,95701,90817
1630679470963,22107,96313,91322
1630679470973,22245,97117,91986
1630679470983,22358,97824,92573
1630679470993,22476,98429,93052
1630679471003,22585,99035,93549
1630679471013,22674,99575,93975
1630679471023,22782,100198,94476
1630679471033,22889,100785,94965
1630679471043,23004,101426,95483
1630679471053,23115,101989,96018
1630679471063,23274,102803,96800
1630679471073,23366,103359,97280
1630679471083,23439,103825,97678
1630679471093,23510,104301,98040
1630679471103,23594,104771,98374
1630679471113,23640,105022,98519
1630679471123,23628,104995,98504
1630679471133,23624,104930,98505
1630679471143,23660,105119,98717
1630679471153,23712,105464,99076
1630679471163,23774,105823,99432
1630679471173,23782,105841,99500
1630679471183,23674,105307,99062
1630679471193,23517,104348,98287
1630679471203,23142,102213,96412
1630679471213,22615,99349,93970
1630679471223,22290,97667,92652
1630679471233,22271,97776,92743
1630679471243,22447,98888,93617
1630679471253,22558,99690,94177
1630679471263,22589,99788,94263
1630679471273,22372,98511,93093
1630679471283,22060,96589,91618
1630679471293,21794,94978,90401
1630679471303,21628,94066,89699
1630679471313,21638,94173,89778
1630679471323,21681,94503,89978
1630679471333,21659,94468,89819
1630679471343,21590,94168,89429
1630679471353,21507,93716,88949
1630679471363,21437,93263,88519
1630679471373,21399,93065,88358
1630679471383,21415,93104,88442
1630679471393,21488,93483,88786
1630679471403,21610,94179,89379
1630679471413,21756,94987,90030
1630679471423,21848,95687,90530
1630679471433,21945,96250,90896
1630679471443,22034,96781,91258
1630679471453,22103,97247,91603
1630679471463,22197,97777,92014
1630679471473,22304,98348,92505
1630679471483,22432,99013,93095
1630679471493,22560,99729,93718
1630679471503,22665,100331,94245
1630679471513,22734,100668,94504
1630679471523,22757,100824,94657
1630679471533,22779,101018,94825
1630679471543,22824,101310,95078
1630679471553,22844,101463,95217
1630679471563,22867,101639,95379
1630679471573,22852,101539,95294
1630679471583,22740,100895,94737
1630679471593,22448,99143,93250
1630679471603,22060,96971,91493
1630679471613,21756,95202,90131
1630679471623,21623,94486,89634
1630679471633,21667,94762,89922
1630679471643,21769,95389,90519
1630679471653,21862,95860,91005
1630679471663,21818,95528,90760
1630679471673,21569,94062,89464
1630679471683,21185,91893,87529
1630679471693,20840,89981,85858
1630679471703,20694,89263,85203
1630679471713,20717,89405,85334
1630679471723,20752,89644,85434
1630679471733,20737,89620,85381
1630679471743,20780,89832,85583
1630679471753,20818,90136,85830
1630679471763,20896,90489,86117
1630679471773,20982,90999,86466
1630679471783,21050,91542,86883
1630679471793,21162,92108,87305
1630679471803,21255,92653,87756
1630679471813,21370,93284,88286
1630679471823,21495,93932,88861
1630679471833,21635,94652,89542
1630679471843,21799,95556,90367
1630679471853,21972,96511,91177
1630679471863,22122,97361,91894
1630679471873,22239,98048,92442
1630679471883,22345,98679,92947
1630679471893,22481,99506,93653
1630679471903,22608,100241,94248
1630679471913,22678,100743,94671
1630679471923,22698,100931,94836
1630679471933,22724,101099,95023
1630679471943,22759,101326,95273
1630679471953,22801,101576,95522
1630679471963,22820,101680,95671
1630679471973,22787,101441,95473
1630679471983,22643,100640,94820
1630679471993,22404,99275,93620
1630679472003,21955,96707,91312
1630679472013,21454,93990,89019
1630679472023,21286,93176,88457
1630679472033,21410,93992,89178
1630679472043,21582,95111,89982
1630679472053,21613,95185,90067
1630679472063,21459,94272,89347
1630679472073,21167,92491,87824
1630679472083,20845,90548,86213
1630679472093,20587,89189,84999
1630679472103,20542,89111,84985
1630679472113,20654,89694,85441
1630679472123,20677,89905,85468
1630679472133,20597,89582,85021
1630679472143,20534,89274,84661
