timestamp,is_touching
1630678967001,1
1630678967126,1
1630678967329,1
1630678967344,1
1630678967423,1
1630678967501,1
1630678967628,1
1630678967690,1
1630678967815,1
1630678967956,1
1630678968018,1
1630678968190,1
1630678968221,1
1630678968362,1
1630678968440,1
1630678968596,1
1630678968643,1
1630678968724,1
1630678968833,1
1630678968911,1
1630678969114,1
1630678969192,1
1630678969333,1
1630678969380,1
1630678969462,1
1630678969555,1
1630678969665,1
1630678969743,1
1630678969899,1
1630678969946,1
1630678970040,1
1630678970259,1
1630678970321,1
1630678970399,1
1630678970462,1
1630678970556,1
1630678970712,1
1630678970853,1
1630678970899,1
1630678971040,1
1630678971134,1
1630678971212,1
1630678971462,1
1630678971527,1
1630678971744,1
1630678971744,1
1630678971884,1
1630678971900,1
1630678971947,1
1630678972056,1
1630678972150,1
1630678972244,1
1630678972306,1
1630678972384,1
1630678972463,1
1630678972606,1
1630678972700,1
1630678972841,1
1630678972919,1
1630678973028,1
1630678973122,1
1630678973184,1
1630678973372,1
1630678973450,1
1630678973481,1
1630678973704,1
1630678973782,1
1630678973860,1
1630678973969,1
1630678974094,1
1630678974204,1
1630678974360,1
1630678974407,1
1630678974548,1
1630678974629,1
1630678974910,1
1630678975098,1
1630678975238,1
1630678975332,1
1630678975441,1
1630678975472,1
1630678975613,1
1630678975693,1
1630678975802,1
1630678975818,1
1630678976005,1
1630678976115,1
1630678976271,1
1630678976333,1
1630678976365,1
1630678976427,1
1630678976490,1
1630678976712,1
1630678976790,1
1630678976868,1
1630678976993,1
1630678977040,1
1630678977165,1
1630678977384,1
1630678977668,1
1630678977902,1
1630678978074,1
1630678978121,1
1630678978308,1
1630678978511,1
1630678978558,1
1630678978733,1
1630678978842,1
1630678979077,1
1630678979092,1
1630678979264,1
1630678979264,1
1630678979327,1
1630678979467,1
1630678979579,1
1630678979672,1
1630678979735,1
1630678979735,1
1630678979750,1
1630678979782,1
1630678979829,1
1630678979875,1
1630678979891,1
1630678980000,1
1630678980016,1
1630678980063,1
1630678980094,1
1630678980125,1
1630678980157,1
1630678980219,1
1630678980282,1
1630678980344,1
1630678980407,1
1630678980563,1
1630678980657,1
1630678980735,1
1630678980832,1
1630678980926,1
1630678981035,1
1630678981239,1
1630678981457,1
1630678981504,1
1630678981553,1
1630678981772,1
1630678981772,1
1630678981819,1
1630678981912,1
1630678981959,1
1630678982038,1
1630678982256,1
1630678982428,1
1630678982522,1
1630678982571,1
1630678982649,1
1630678982649,1
1630678982816,1
1630678982941,1
1630678982972,1
1630678983081,1
1630678983222,1
1630678983472,1
1630678983487,1
1630678983550,1
1630678983631,1
1630678983693,1
1630678983928,1
1630678983990,1
1630678984037,1
1630678984115,1
1630678984209,1
1630678984524,1
1630678984729,1
1630678984823,1
1630678984869,1
1630678984901,1
1630678985276,1
1630678985307,1
1630678985416,1
1630678985479,1
1630678985494,1
1630678985510,1
1630678985510,1
1630678985713,1
1630678985729,1
1630678985729,1
1630678985807,1
1630678986010,1
1630678986025,1
1630678986244,1
1630678986291,1
1630678986369,1
1630678986419,1
1630678986591,1
1630678986685,1
1630678986763,1
1630678986825,1
1630678986935,1
1630678987122,1
1630678987154,1
1630678987279,1
1630678987357,1
1630678987420,1
1630678987548,1
1630678987641,1
1630678987719,1
1630678987844,1
1630678988016,1
1630678988125,1
1630678988141,1
1630678988297,1
1630678988344,1
1630678988407,1
1630678988535,1
1630678988723,1
1630678988879,1
1630678989020,1
1630678989067,1
1630678989098,1
1630678989317,1
1630678989426,1
1630678989473,1
1630678989835,1
1630678989898,1
1630678989992,1
1630678990179,1
1630678990257,1
1630678990398,1
1630678990460,1
1630678990476,1
1630678990507,1
1630678990538,1
1630678990728,1
1630678990869,1
1630678991025,1
1630678991072,1
1630678991103,1
1630678991213,1
1630678991291,1
1630678991338,1
1630678991353,1
1630678991478,1
1630678991603,1
1630678991681,1
1630678991759,1
1630678991822,1
1630678991962,1
1630678992025,1
1630678992087,1
1630678992228,1
1630678992353,1
1630678992465,1
1630678992527,1
1630678992636,1
1630678992683,1
1630678992902,1
1630678992964,1
1630678993027,1
1630678993167,1
1630678993308,1
1630678993437,1
1630678993469,1
1630678993609,1
1630678993640,1
1630678993721,1
1630678993846,1
1630678994017,1
1630678994189,1
1630678994252,1
1630678994299,1
1630678994567,1
1630678994692,1
1630678994801,1
1630678995051,1
1630678995223,1
1630678995238,1
1630678995285,1
1630678995348,1
1630678995348,1
1630678995410,1
1630678995410,1
1630678995473,1
1630678995569,1
1630678995709,1
1630678995787,1
1630678996084,1
1630678996209,1
1630678996256,1
1630678996303,1
1630678996350,1
1630678996412,1
1630678996490,1
1630678996634,1
1630678996743,1
1630678996853,1
1630678997040,1
1630678997071,1
1630678997306,1
1630678997321,1
1630678997415,1
1630678997540,1
1630678997606,1
1630678997809,1
1630678998059,1
1630678998185,1
1630678998516,1
1630678998769,1
1630678998940,1
1630678999003,1
1630678999081,1
1630678999081,1
1630678999112,1
1630678999128,1
1630678999128,1
1630678999206,1
1630678999269,1
1630678999300,1
1630678999331,1
1630678999362,1
1630678999409,1
1630678999503,1
1630678999662,1
1630678999740,1
1630678999802,1
1630678999865,1
1630678999959,1
1630679000068,1
1630679000146,1
1630679000255,1
1630679000318,1
1630679000443,1
1630679000553,1
1630679000662,1
1630679000742,1
1630679000821,1
1630679001024,1
1630679001149,1
1630679001196,1
1630679001227,1
1630679001368,1
1630679001511,1
1630679001589,1
1630679001684,1
1630679001808,1
1630679001871,1
1630679002027,1
1630679002074,1
1630679002230,1
1630679002261,1
1630679002370,1
