timestamp,ax,ay,az
1630679501060,-0.8078839999999999,0.265045,-0.411811
1630679501069,-0.67283,0.236619,-0.36844
1630679501079,-0.534238,0.188307,-0.30658599999999997
1630679501089,-0.414312,0.139263,-0.24095
1630679501098,-0.307684,0.090219,-0.18178
1630679501108,-0.19276,0.035136,-0.125233
1630679501117,-0.109983,-0.008845,-0.055327
1630679501127,-0.044957,-0.036539,0.006405
1630679501137,-0.025803,-0.043066,0.034099
1630679501146,-0.043188,-0.010492,0.020007999999999998
1630679501156,-0.068259,0.015555,-0.022387
1630679501165,-0.083326,0.032635,-0.053191999999999996
1630679501175,-0.084546,0.029646,-0.06161
1630679501185,-0.063989,0.003538,-0.046787
1630679501194,-0.04453,-0.030134,-0.024949
1630679501204,-0.058498999999999995,-0.056913,-0.019215
1630679501213,-0.11931599999999999,-0.056547,-0.071004
1630679501223,-0.243634,-0.027877,-0.16348
1630679501233,-0.501359,0.077653,-0.30750099999999997
1630679501242,-0.8036139999999999,0.274317,-0.514352
1630679501252,-1.011014,0.410164,-0.747494
1630679501261,-1.0389519999999999,0.376065,-0.821243
1630679501271,-0.933361,0.21862399999999999,-0.712602
1630679501281,-0.8529019999999999,0.080886,-0.643733
1630679501290,-0.817461,0.053253,-0.6682549999999999
1630679501300,-0.882548,0.098393,-0.712602
1630679501309,-1.090497,0.219112,-0.843081
1630679501319,-1.453691,0.351482,-1.074637
1630679501329,-1.792119,0.383446,-1.3678029999999999
1630679501338,-1.933151,0.329949,-1.44814
1630679501348,-1.9014309999999999,0.205631,-1.420873
1630679468481,-1.822314,0.204899,-1.352675
1630679468491,-1.7654619999999999,0.376065,-1.214022
1630679468500,-1.736731,0.508252,-1.094523
1630679468510,-1.71593,0.543266,-1.026081
1630679468520,-1.540494,0.519903,-1.001193
1630679468529,-1.42557,0.47177399999999997,-0.947879
1630679468539,-1.269105,0.463661,-0.897432
1630679468548,-1.140944,0.415471,-0.819169
1630679468558,-0.986553,0.370148,-0.724192
1630679468568,-0.854549,0.328607,-0.610976
1630679468577,-0.759145,0.311466,-0.516914
1630679468587,-0.671732,0.307684,-0.458598
1630679468596,-0.587674,0.270047,-0.422913
1630679468606,-0.495259,0.21185299999999999,-0.37624799999999997
1630679468616,-0.405711,0.150792,-0.312625
1630679468625,-0.327448,0.102358,-0.257847
1630679468635,-0.257786,0.077348,-0.204838
1630679468644,-0.190076,0.053985,-0.15481799999999998
1630679468654,-0.130418,0.039772,-0.090036
1630679468664,-0.077775,0.042151,-0.025681
1630679468673,-0.04819,0.049776,0.024399999999999998
1630679468683,-0.033367,0.058316,0.045566999999999996
1630679468692,-0.029523999999999998,0.067771,0.04636
1630679468702,-0.030683,0.06222,0.038796
1630679468712,-0.015738,0.037576,0.037027
1630679468721,0.0,0.008662,0.051362
1630679468731,-0.0060999999999999995,-0.016226,0.062586
1630679468740,-0.040992,-0.028121,0.068686
1630679468750,-0.114436,-0.009821,0.040992
1630679468760,-0.208986,0.028304,-0.020496
1630679468769,-0.359595,0.065819,-0.09589199999999999
1630679468779,-0.660874,0.225578,-0.211731
1630679468788,-1.028155,0.463356,-0.47878899999999996
1630679468798,-1.214693,0.577365,-0.85339
1630679468808,-1.111176,0.4087,-0.897676
1630679468817,-0.977708,0.196847,-0.643062
1630679468827,-0.983076,0.125233,-0.459635
1630679468836,-0.945622,0.109983,-0.394792
1630679468846,-1.06933,0.177449,-0.266021
1630679468856,-1.421849,0.282796,-0.37960299999999997
1630679468865,-1.77266,0.351665,-0.77104
1630679468875,-1.973472,0.36356,-1.023885
1630679468884,-1.998604,0.31890799999999997,-0.98088
1630679468894,-1.998604,0.241255,-0.918111
1630679468904,-1.986099,0.29548399999999997,-0.8556469999999999
1630679468913,-1.9424839999999999,0.324398,-0.820023
1630679468923,-1.88673,0.382592,-0.8048339999999999
1630679468932,-1.832562,0.414068,-0.785558
1630679468942,-1.772538,0.409249,-0.748836
1630679468952,-1.684332,0.37698,-0.716262
1630679468961,-1.563003,0.335683,-0.662582
1630679468971,-1.406294,0.281454,-0.580354
1630679468980,-1.247694,0.239669,-0.501298
1630679468990,-1.0891549999999999,0.22630999999999998,-0.43859
1630679469000,-0.96624,0.23973,-0.399001
1630679469009,-0.868945,0.237168,-0.373686
1630679469019,-0.764879,0.239974,-0.354837
1630679469028,-0.653127,0.213866,-0.362767
1630679469038,-0.524356,0.193187,-0.29731399999999997
1630679469048,-0.455731,0.132675,-0.276391
1630679469057,-0.333548,0.058682,-0.216855
1630679469067,-0.221796,0.006588,-0.14621699999999999
1630679469076,-0.130418,-0.050081,-0.07625
1630679469086,-0.059475,-0.094733,-0.020191
1630679469096,-0.03721,-0.085156,0.041541
1630679469105,-0.067954,-0.045933,0.050325
1630679469115,-0.084668,0.011224,0.041602
1630679469124,-0.011224,0.043188,0.039162
1630679469134,-0.13450499999999999,-0.104188,0.034038
1630679469144,-0.10858,-0.023667999999999998,-0.019886
1630679469153,-0.071309,-0.037332,0.008905999999999999
1630679469163,-0.106811,-0.029585,-0.018727
1630679469172,-0.20496,0.025254,-0.111203
1630679469182,-0.374357,0.14945,-0.232837
1630679469192,-0.594994,0.312869,-0.402356
1630679469201,-0.784338,0.474763,-0.61854
1630679469211,-0.84424,0.490745,-0.733769
1630679469220,-0.801113,0.386801,-0.712541
1630679469230,-0.788791,0.23863199999999998,-0.5940179999999999
1630679469240,-0.828502,0.219783,-0.524295
1630679469249,-0.944036,0.24204799999999999,-0.673989
1630679469259,-1.042063,0.305,-0.8017839999999999
1630679469268,-1.1442379999999999,0.444446,-0.808555
1630679469278,-1.4618039999999999,0.696925,-0.886818
1630679469288,-1.832867,0.898896,-1.073051
1630679469297,-1.97335,0.917867,-1.137772
1630679469307,-1.998604,0.803675,-1.124169
1630679469316,-1.998604,0.77287,-1.131855
1630679469326,-1.961028,0.8239879999999999,-1.120021
1630679469336,-1.847446,0.811605,-1.024373
1630679469345,-1.730326,0.747921,-0.946476
1630679469355,-1.606801,0.674721,-0.88694
1630679469364,-1.444602,0.611403,-0.818803
1630679469374,-1.2689219999999999,0.5231359999999999,-0.745298
1630679469384,-1.091778,0.453291,-0.612013
1630679469393,-0.910547,0.392108,-0.503067
1630679469403,-0.760548,0.348676,-0.39131499999999997
1630679469412,-0.649894,0.280234,-0.29548399999999997
1630679469422,-0.5629689999999999,0.197884,-0.22661499999999998
1630679469432,-0.501115,0.135176,-0.174155
1630679469441,-0.443226,0.073749,-0.158356
1630679469451,-0.37685799999999997,0.009882,-0.161833
1630679469460,-0.286029,-0.031903,-0.160003
1630679469470,-0.194407,-0.073505,-0.138775
1630679469480,-0.101992,-0.094428,-0.101382
1630679469489,-0.056303,-0.086742,-0.050325
1630679469499,-0.029158,-0.052948,-0.06893
1630679469508,-0.017263,0.008052,-0.085034
1630679469518,-0.020007999999999998,0.065636,-0.069662
1630679469528,0.001647,0.07063799999999999,-0.043493
1630679469537,-0.008173999999999999,0.027267,-0.050386
1630679469547,-0.007625,-0.0075639999999999995,-0.044286
1630679469556,-0.0064659999999999995,-0.016287,-0.019337
1630679469566,-0.060573,-0.096624,-0.000488
1630679469576,-0.146949,-0.122122,-0.01891
1630679469585,-0.27175499999999997,-0.018178,-0.051179
1630679469595,-0.523624,0.148779,-0.099552
1630679469604,-0.80825,0.446703,-0.234179
1630679469614,-1.0769549999999999,0.697718,-0.549183
1630679469624,-1.051274,0.630618,-0.7327319999999999
1630679469633,-1.034499,0.30475599999999997,-0.65392
1630679469643,-0.98759,-0.043066,-0.46421
1630679469652,-0.999912,0.130052,-0.360083
1630679469662,-0.998265,0.213134,-0.2806
1630679469672,-1.151192,0.360571,-0.137372
1630679469681,-1.448384,0.540399,-0.198677
1630679469691,-1.857572,0.5885279999999999,-0.557662
1630679469700,-1.962126,0.6606299999999999,-0.695888
1630679469710,-1.998604,0.581269,-0.669902
1630679469720,-1.9841469999999999,0.559797,-0.543327
1630679469729,-1.9121059999999999,0.59841,-0.428037
1630679469739,-1.873371,0.661362,-0.377712
1630679469748,-1.870382,0.689666,-0.37624799999999997
1630679469758,-1.840431,0.666486,-0.38387299999999996
1630679469768,-1.7645469999999999,0.63318,-0.372649
1630679469777,-1.65981,0.580049,-0.359168
1630679469787,-1.517314,0.532347,-0.301279
1630679469796,-1.326323,0.483608,-0.249246
1630679469806,-1.160952,0.453413,-0.213561
1630679469816,-1.049383,0.410042,-0.223809
1630679469825,-0.924577,0.381555,-0.23094599999999998
1630679469835,-0.809226,0.35343399999999997,-0.21953899999999998
1630679469844,-0.6925939999999999,0.323422,-0.222833
1630679469854,-0.624335,0.282796,-0.202398
1630679469864,-0.473421,0.250344,-0.18788
1630679469873,-0.355508,0.151646,-0.132736
1630679469883,-0.246379,0.093696,-0.083509
1630679469892,-0.130662,0.045689,-0.028731
1630679469902,-0.081923,-0.030987999999999998,0.014213
1630679469912,-0.074054,-0.045628,0.025742
1630679469921,-0.063318,-0.058193999999999996,0.037576
1630679469931,-0.084546,-0.05734,0.04209
1630679469940,-0.14652199999999999,-0.025863999999999998,-0.018543999999999998
1630679469950,-0.129442,-0.025803,-0.037759
1630679469960,-0.101931,-0.051484,-0.038735
1630679469969,-0.148169,-0.10315099999999999,-0.09028
1630679469979,-0.15945399999999998,-0.059536,-0.108763
1630679469988,-0.278282,-0.041358,-0.15921
1630679469998,-0.51972,0.15298799999999999,-0.245342
1630679470008,-0.806847,0.46158699999999997,-0.369782
1630679470017,-0.955626,0.650809,-0.530578
1630679470027,-0.875167,0.723338,-0.621895
1630679470036,-0.961299,0.336598,-0.546621
1630679470046,-1.025471,0.138958,-0.594201
1630679470056,-0.7914749999999999,0.49233099999999996,-0.458049
1630679470065,-1.029985,0.508008,-0.501847
