timestamp,gx,gy,gz
1630679501062,-41.877500000000005,-80.85000000000001,-27.195000000000004
1630679501071,-29.575000000000003,-63.087500000000006,-25.3575
1630679501081,-22.7325,-51.5375,-23.922500000000003
1630679501090,-28.507500000000004,-53.182500000000005,-27.0025
1630679501100,-34.877500000000005,-52.36000000000001,-32.0075
1630679501110,-33.74,-41.335,-28.455000000000002
1630679501119,-26.582500000000003,-26.0575,-19.9325
1630679501129,-14.805000000000001,-5.1450000000000005,-10.115
1630679501138,-5.0575,3.7100000000000004,0.43750000000000006
1630679501148,-2.6250000000000004,2.7475,4.095000000000001
1630679501158,1.0850000000000002,3.1325000000000003,6.23
1630679501167,-0.9625000000000001,-3.4475000000000002,6.6325
1630679501177,-5.1450000000000005,-11.585,5.845000000000001
1630679501186,-6.4750000000000005,-12.722500000000002,5.285
1630679501196,-2.2750000000000004,-2.3800000000000003,7.7525
1630679501206,10.937500000000002,21.962500000000002,13.7725
1630679501215,42.542500000000004,71.9775,25.725
1630679501225,79.48500000000001,139.685,45.93750000000001
1630679501234,92.52250000000001,159.5825,67.11250000000001
1630679501244,50.52250000000001,93.06500000000001,62.19500000000001
1630679501254,12.127500000000001,35.14,44.1525
1630679501263,-6.510000000000001,4.6375,28.875000000000004
1630679501273,-10.850000000000001,-9.152500000000002,19.8275
1630679501282,1.05,-0.7525000000000001,16.852500000000003
1630679501292,27.352500000000003,34.370000000000005,20.965000000000003
1630679501302,58.31,87.465,38.395
1630679501311,73.15,139.47500000000002,62.70250000000001
1630679501321,45.8325,136.72750000000002,64.2775
1630679501330,-5.3375,90.2125,54.60000000000001
1630679501340,-49.50750000000001,29.225,33.74
1630679501350,-55.5275,8.190000000000001,29.575000000000003
1630679468502,-42.017500000000005,19.0225,36.907500000000006
1630679468512,-30.992500000000003,27.8425,43.2075
1630679468521,-27.685000000000002,17.587500000000002,41.0375
1630679468531,-33.477500000000006,-8.242500000000001,32.6375
1630679468541,-32.67250000000001,-23.1,24.570000000000004
1630679468550,-29.172500000000003,-29.400000000000002,16.240000000000002
1630679468560,-27.825000000000003,-36.330000000000005,8.0325
1630679468569,-26.407500000000002,-42.455000000000005,-0.17500000000000002
1630679468579,-19.1625,-38.185,-2.345
1630679468589,-14.087500000000002,-31.745000000000005,0.052500000000000005
1630679468598,-20.020000000000003,-39.025000000000006,-2.8350000000000004
1630679468608,-28.700000000000003,-48.807500000000005,-6.8775
1630679468617,-42.087500000000006,-60.88250000000001,-14.805000000000001
1630679468627,-41.9125,-57.31250000000001,-18.305000000000003
