timestamp,TP9,AF7,AF8,TP10
1630678967126,2.0,1.0,1.0,2.0
1630678967329,2.0,1.0,1.0,2.0
1630678967329,2.0,1.0,1.0,2.0
1630678967407,2.0,1.0,1.0,2.0
1630678967501,2.0,1.0,1.0,2.0
1630678967610,2.0,1.0,1.0,2.0
1630678967690,2.0,1.0,1.0,2.0
1630678967831,2.0,1.0,1.0,2.0
1630678967956,2.0,1.0,1.0,2.0
1630678968018,2.0,1.0,1.0,2.0
1630678968190,2.0,1.0,1.0,2.0
1630678968221,2.0,1.0,1.0,2.0
1630678968362,2.0,1.0,1.0,2.0
1630678968424,2.0,1.0,1.0,2.0
1630678968612,2.0,1.0,1.0,2.0
1630678968643,2.0,1.0,1.0,2.0
1630678968724,2.0,1.0,1.0,2.0
1630678968833,2.0,1.0,1.0,2.0
1630678968927,2.0,1.0,1.0,2.0
1630678969114,2.0,1.0,1.0,2.0
1630678969192,2.0,1.0,1.0,2.0
1630678969349,2.0,1.0,1.0,2.0
1630678969380,2.0,1.0,1.0,2.0
1630678969446,2.0,1.0,1.0,2.0
1630678969555,2.0,1.0,1.0,2.0
1630678969665,2.0,1.0,1.0,2.0
1630678969743,2.0,1.0,1.0,2.0
1630678969899,2.0,1.0,1.0,2.0
1630678969946,2.0,1.0,1.0,2.0
1630678970040,2.0,1.0,1.0,2.0
1630678970259,2.0,1.0,1.0,2.0
1630678970321,2.0,1.0,1.0,2.0
1630678970399,2.0,1.0,1.0,2.0
1630678970462,2.0,1.0,1.0,2.0
1630678970556,2.0,1.0,1.0,2.0
1630678970728,2.0,1.0,1.0,2.0
1630678970853,2.0,1.0,1.0,2.0
1630678970899,2.0,1.0,1.0,2.0
1630678971024,2.0,1.0,1.0,2.0
1630678971134,2.0,1.0,1.0,2.0
1630678971212,2.0,1.0,1.0,2.0
1630678971446,2.0,1.0,1.0,2.0
1630678971527,2.0,1.0,1.0,2.0
1630678971744,2.0,1.0,1.0,2.0
1630678971744,2.0,1.0,1.0,2.0
1630678971884,2.0,1.0,1.0,2.0
1630678971884,2.0,1.0,1.0,2.0
1630678971947,2.0,1.0,1.0,2.0
1630678972072,2.0,1.0,1.0,2.0
1630678972150,2.0,1.0,1.0,2.0
1630678972228,2.0,1.0,4.0,2.0
1630678972306,2.0,1.0,2.0,2.0
1630678972369,2.0,1.0,2.0,2.0
1630678972463,2.0,1.0,1.0,2.0
1630678972622,2.0,1.0,1.0,2.0
1630678972716,2.0,1.0,1.0,2.0
1630678972841,2.0,1.0,1.0,2.0
1630678972919,2.0,1.0,1.0,2.0
1630678973028,2.0,1.0,1.0,2.0
1630678973122,2.0,1.0,1.0,2.0
1630678973169,2.0,1.0,1.0,2.0
1630678973388,2.0,1.0,1.0,2.0
1630678973435,2.0,1.0,1.0,2.0
1630678973497,2.0,1.0,1.0,2.0
1630678973704,1.0,1.0,1.0,1.0
1630678973782,1.0,1.0,1.0,1.0
1630678973844,1.0,1.0,1.0,1.0
1630678973985,1.0,1.0,1.0,1.0
1630678974110,1.0,1.0,1.0,1.0
1630678974204,1.0,1.0,1.0,1.0
1630678974360,1.0,1.0,1.0,1.0
1630678974407,1.0,1.0,1.0,1.0
1630678974532,1.0,1.0,1.0,1.0
1630678974629,1.0,1.0,1.0,1.0
1630678974910,1.0,1.0,1.0,1.0
1630678975098,1.0,1.0,1.0,1.0
1630678975238,1.0,1.0,1.0,1.0
1630678975332,1.0,1.0,1.0,1.0
1630678975441,1.0,1.0,1.0,1.0
1630678975472,1.0,1.0,1.0,1.0
1630678975629,1.0,1.0,1.0,1.0
1630678975709,1.0,1.0,1.0,1.0
1630678975802,1.0,1.0,1.0,1.0
1630678975818,1.0,1.0,1.0,1.0
1630678976005,1.0,1.0,1.0,1.0
1630678976115,1.0,1.0,1.0,1.0
1630678976256,1.0,1.0,1.0,1.0
1630678976333,1.0,1.0,1.0,1.0
1630678976380,1.0,1.0,1.0,1.0
1630678976411,1.0,1.0,1.0,1.0
1630678976490,2.0,1.0,1.0,2.0
1630678976728,2.0,1.0,1.0,2.0
1630678976806,2.0,1.0,1.0,2.0
1630678976868,2.0,1.0,1.0,2.0
1630678976978,2.0,1.0,1.0,2.0
